year,state,code,crime,Total,bin
2019,Oklahoma,OK,122109,3826900,"(3000000, 6000000]"
2019,Oregon,OR,205865,4128900,"(3000000, 6000000]"
2019,Pennsylvania,PA,2126,12377600,"(11000000, 14000000]"
2019,Rhode Island,RI,39325,1017100,"(530000, 3000000]"
2019,South Carolina,SC,327305,4984200,"(3000000, 6000000]"
2019,South Dakota,SD,43047,851300,"(530000, 3000000]"
2019,Tennessee,TN,437409,6640900,"(6000000, 8000000]"
2019,Texas,TX,901223,28286200,"(25000000, 29000000]"
2019,Utah,UT,137761,3154100,"(3000000, 6000000]"
2019,Vermont,VT,18651,598100,"(530000, 3000000]"
2019,Virginia,VA,375695,8185100,"(8000000, 11000000]"
2019,Washington,WA,358909,7423900,"(6000000, 8000000]"
2019,West Virginia,WV,46450,1739000,"(530000, 3000000]"
